"id";"label";"group"
"1AE506A3-CD87-488E-841D-D98A336E15C7";"gorcy Tadzhikistana / mountaineers of Tajikistan";"gornye tadzhiki"
"AF9919B8-FDAB-4054-BA98-C4258F78DBE1";"gornye tadzhiki bassejna r. Khingou";"gornye tadzhiki"
"1FEDA544-125E-4BA6-92DE-A1E9E09C2FB0";"gornye tadzhiki Kashkadar'i i Surkhana";"gornye tadzhiki"
"074ECC5A-F2DD-411A-8AB1-48A999E75FAA";"tadzhiki gornoj zony juzhnogo Tadzhikistana";"gornye tadzhiki"
"9A27925F-D32A-4169-B847-A825A35AA5C2";"gornoe tadzhikskoe krest'jansvto";"gornye tadzhiki"
"EB0BF091-DFDF-4C0F-8561-07F78F323581";"gorcy-tadzhiki / tadzhiki-gorcy";"gornye tadzhiki"
"173CF2D6-DC70-43AA-B3E8-4277BB77BB3A";"kukhistoni-rujovi Varzoba";"kukhistoni Varzoba / mountaineers of Varzob"
"62082351-A81C-4180-B9F6-8716FFDB3738";"kukhistoni-tagobi Varzoba";"kukhistoni Varzoba / mountaineers of Varzob"
"6AB0EE09-521E-423D-ADA4-694E11C7C006";"kukhistoni-sarkhadi Varzoba";"kukhistoni Varzoba / mountaineers of Varzob"
"138D1D3C-B1F0-4743-88C2-5F3B210DCCB8";"ravninnye tadzhiki Fergany / plainlands Tajiks of Ferghana";"ravninnye tadzhiki"
"019C5E39-CF5F-4C86-920B-F915A0493A9C";"ravninnye tadzhikskoe krest'jansvto";"ravninnye tadzhiki"
"9FE4EEA9-84C7-4EF9-8140-CF06C23291E0";"zhensshiny u ravninnykh tadzhikov / Tajik women in plainlands";"ravninnye tadzhiki"
"1539981C-EAF2-423F-A733-76142A0056FD";"karategini Varzoba";"tadzhikskoe naselenie bassejna r. Varzob"
"43CFB3DF-BBD5-4332-BBF6-CDC0443C2C09";"kulobi Varzoba";"tadzhikskoe naselenie bassejna r. Varzob"
"1F51A47D-9A9A-43BC-83AD-9F62263E082A";"varzobcy / varzobi";"tadzhikskoe naselenie bassejna r. Varzob"
"D7D2BFE2-9FFC-4F0D-9D02-DDCDA395D101";"Tajik women / tadzhichki zemledel'cheskikh oazisov Srednej Azii";"tadzhiki - zhiteli zemledel'cheskikh oazisov Srednej Azii"
"7628EC51-9A41-4CE7-B771-D947975DF1BC";"verkhovya Matchi";"gornyj severnyj Tadzh./ mountainous regions Northern Tajikistan"
"267BD81A-6F0E-44CC-81EF-75193B3268C3";"Darvaz";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan"
"C184EE3B-6B47-4A99-B0E2-013566998CD5";"Karategin";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan"
"8AAAB9C8-F9CA-4F12-9C29-339EBACBFBDC";"Pendzhikent";"Zeravshan"
"BC0ACCA8-4104-4F18-BC8E-254449823AF5";"nizhnij i srednij Zeravshan";"Zeravshan"
"30BAA603-2777-4C9B-BC5C-0FE5CA277213";"verkhovja Zeravshana / Verkhnij Zeravshan / gornyj Zeravshan";"Zeravshan"
"5B069328-BCA4-4DC9-8DC9-D41440B927D3";"nizmennaja chast' gornogo Zeravshana / Fal'gar";"Zeravshan"
"12AA0048-3A65-4C38-98B8-425FB746563E";"verkhovja Jagnoba / Yaghnob";"Zeravshan"
"F3420504-936D-49BC-9E5A-3F216D788048";"dolina r.  Jagnob / Yaghnob";"Zeravshan"
"F6F6D2AF-337C-4DD8-9FFC-547802754A60";"nizhnij Jagnob / Yaghnob";"Zeravshan"
"1602BF72-8E94-41EE-AC75-9BBD094BEE6C";"ravninnaja chast' doliny Zeravshan";"Zeravshan"
"C1534F01-000D-492E-9D87-8240803678B3";"dolina Kashkadar'i";"Zeravshan"
"67D7AE7C-6D6C-4CB4-A168-51C232D7F2D1";"Western Zeravshan";"Zeravshan"
"E3071F62-A521-4018-BC83-AD0FD31ABF9C";"Eastern Zeravshan";"Zeravshan"
"FA689111-60B5-4113-8298-B840B8B9B586";"downstream r. Zeravshan";"Zeravshan"
"7FEF92E5-A5BA-4E32-A5E3-842ABBC5D666";"severnye otrogi Zeravshanskogo khrebta";"Zeravshan"
"4ADDE077-8CD5-4FF9-8955-E045134C4D88";"bassejn / dolina Zeravshan";"Zeravshan"
"20357464-840B-4BFE-9DA8-18A99A2351E9";"Rarz";"Zeravshan"
"6CCA1D21-29C2-4D4B-A522-959E678AEBE5";"Sangiston";"Zeravshan"
"B718A3C2-7A2A-4C9C-BC59-5B0E161C39DB";"Zosun";"Zeravshan"
"1EBDA659-A69A-4DE3-A295-A721B5BD2903";"Golodnaja i Dal'verzinskaja step'";"Ferghana / Ferganskaja dolina"
"6A85E18B-2548-4C21-972C-0989ECE5B7A8";"Golodnaja step'";"Ferghana / Ferganskaja dolina"
"E7202426-41DA-4E47-A96A-6D4F1890A0F1";"Isfara";"Ferghana / Ferganskaja dolina"
"5C066E95-DD55-4DC4-9FD4-590F45B87A6D";"Ura-Tjube";"Ferghana / Ferganskaja dolina"
"7060DFC2-20CB-4A72-9C05-6C4EA920063E";"bassejn reki Sokh (jugo-zapadnaja Fergana)";"Ferghana / Ferganskaja dolina"
"F14CC75D-DDF2-4F01-B185-EF0338550194";"tadzhikskij khlopkovodcheskij kolkhoz v Chkalovske";"Leninabadskij rajon / oblast' / kraj"
"15F1ABE6-4303-4922-9756-884D66881CAF";"Chkalovsk / Kystakoz / Qistaqŭz / Kostakoz";"Leninabadskij rajon / oblast' / kraj"
"D14AB256-6911-4E8C-94E8-AFAAE506F2DB";"gornye rajony Kuljabskoj oblasti";"Kuljabskaja oblast' / Kuljab"
"B0B6562E-6205-46A6-A252-5FDA6D845D92";"Groups";"Groups, Locations outside Tajikistan [NTJ]"
"196E02DE-AA4E-4277-ADF7-A881B0E71AD0";"Locations";"Groups, Locations outside Tajikistan [NTJ]"
"2AEA016B-DA2A-4157-8FA8-76B42C523EC9";"Historical locations";"Locations"
"B8E6469F-CEC1-46BC-BB55-A1E573E9943D";"dolina r.  Pandzhshir";"Locations"
"5945E4AF-8803-450A-A468-42042ECBDBB2";"Perednjaja Azija";"Locations"
"0E61B0EA-FE97-40AD-A9D2-9E340B45E838";"Lithuania";"Locations"
"198A8514-58BE-4A36-96D3-3028EC1941B9";"Estonia";"Locations"
"9D973A99-48D3-48F7-9275-39CE1A4885B0";"Burma / Myanmar";"Locations"
"3733B6F4-622B-4000-9BB7-EFADB0A61DC4";"Sin'czjan";"Locations"
"94799E69-B786-49C4-95CD-AEF986802363";"China";"Locations"
"1BDF2750-F3E3-4841-B0EE-BF3099D6E208";"Japan";"Locations"
"9EBF5754-2E87-4A99-B389-C127034B97FC";"Dal'nij Vostok";"Locations"
"78EF0C91-89FF-4A2E-B9F1-343292AC7228";"Armenija";"Locations"
"20B265BB-4669-4E65-B93C-4E87FFE82EFF";"Nepal";"Locations"
"4F1B06EE-043E-4856-AEF6-2C283A0B425E";"Western Siberia";"Locations"
"27703D2D-975E-4FEC-9EAB-F02E8331FBF3";"Gruzija / Georgia";"Locations"
"67683B0D-4B8C-4A22-A464-D9A25F928712";"Pakistan";"Locations"
"89B5F79F-F64E-4066-9138-17F290C08180";"Khorezmskij oazis";"Locations"
"B993C017-AD24-45AE-A594-22795D31CC1C";"Armenians";"Locations"
"CC3C8D88-7B0F-4BF7-8A7D-89FEF9BEBDAD";"mongoly / Mongols";"Locations"
"0485699F-B633-40FF-B6CC-52BE420D8602";"Russia / RSFSR";"Locations"
"09EB4BF2-25FE-48EA-944A-4CC735988395";"gosudarstva Vostoka";"Locations"
"ABC4F8D6-8D4C-4111-B96F-A51FA19E4945";"Central Asia / Srednjaja Azija";"Locations"
"91B9BD0A-AD49-4919-8D1B-100F42451D45";"Perednjaja i Srednjaja Azija";"Locations"
"90376E68-5A5D-4A41-9B0F-008E848CBA40";"East Turkestan (Chinese)";"Locations"
"041754CB-8B5E-4AF9-AE06-151528EBE8DC";"Iran";"Locations"
"A9D8C243-9165-4B63-A04C-C2DA7312C144";"India";"Locations"
"A84D84DE-4885-42C3-B68E-E4A268D2CD4F";"Azerbaijan / Azerbaidzahnskaja SSR";"Locations"
"F9F22453-D783-4C6B-A0D1-B7C096B4FA71";"Kazakhstan / Kazakhskaja SSR";"Locations"
"1D4D99D1-D8C8-4876-959B-A75C7DFA4ED4";"Karakalpakija";"Locations"
"EE20920B-A8FB-4F51-B332-894FA44CEBEB";"Kirgizija / Kirgizskaja SSR";"Locations"
"4EA421AA-3B45-4684-BA4E-43315876C881";"Turkmenistan / Turkmenija / Turkmenskaja SSR";"Locations"
"65B876DC-FFA0-46CE-BCA3-315C911BF480";"Kavkaz";"Locations"
"264E0CE5-7E60-46E4-84EF-47F1A47B26A2";"Zakavkas";"Locations"
"FB512863-6A2A-4B26-BFE0-448A329DE9D7";"Blizhnij Vostok";"Locations"
"115DDEBF-9748-4ECE-94F1-41DA14BB21E6";"Uzbekistan / Uzbekskaja SSR";"Locations"
"50765C7E-3A1F-4008-A73B-B37A71B63795";"Afghanistan";"Locations"
"E51DC3BC-D69F-49BF-8174-9447693B32A9";"Soviet Union";"Locations"
"B2FBCC8E-8CF5-4030-B36D-BD510FB4B1CC";"Historical groups";"Groups"
"E9E96DC2-2D9F-49E0-81B9-CD6242708B70";"Central Asian titular nations";"Groups"
"1AE81ECF-909F-4455-8215-BB2FA2A565CC";"Groups in Afghanistan";"Groups"
"A3165B15-B560-476A-BDA2-69FB78ECC253";"Groups in Iran";"Groups"
"3A7A229C-D82E-44CA-A589-89FC1A08061E";"russkij narod / Russians";"Groups"
"28F9068E-1D13-43D5-B04D-69CFB24EAF25";"indo-evropejskije narody";"Groups"
"394B28BC-BD60-4069-925B-8A91E4ABB2B4";"khisori";"Groups"
"B4062CE9-9517-446F-BED6-D6AA173EF228";"tjurki";"Groups"
"96DDAE32-CB5C-431D-BECA-AA1EF136738D";"narody Gindukusha";"Groups"
"A1DD735B-55D2-4B6D-A342-7F39D5B514C0";"narody Kavkaza";"Groups"
"75B9E060-3FAF-4E37-B0D2-D70693DFACFA";"parsy";"Groups"
"973D42B9-2548-4341-B4AE-8A9602984730";"sarty / Sarts";"Groups"
"BA726AB5-D5E6-43C5-AECF-D3474A3C2207";"ingushi";"Groups"
"ADF519B6-0AEE-498F-BFE6-FA4B0428C250";"chechency / Chechens";"Groups"
"976C450F-122A-4466-9790-A712EC06A2DB";"osedloe uzbeksko-tadzhikskoe naselenie Uzbekistana";"Groups"
"B0848321-444D-4020-8BE2-467BFAF8BE39";"chernjakhovskie ukraincy";"Groups"
"1E4F9F09-0207-40A3-BF55-CA7598B8F0F2";"evrei / Jews";"Groups"
"2B493D94-F306-4FD5-AD8E-8DAA0AF31352";"""cygane"" / pejorative exonym for the Romani people";"Groups"
"BBA48CF5-B922-4487-9852-934B48E61965";"korejcy Srednej Azii";"Groups"
"995193C3-53C4-4D5A-8565-C58B10C09F7E";"tatary";"Groups"
"76E76C97-3D39-4956-A22A-6FD8BEE289F6";"dzhemshidy";"Groups"
"8ED0342B-CBA2-4CD8-BADF-84D591E780F9";"mogoly";"Groups"
"0CB9C56F-5317-4A91-B8BD-FD16D3F0C5AF";"khazarejcy";"Groups"
"B7AC4F58-E84C-47E3-8211-BFDBF37EC8C1";"sovetskie khezarejcy";"Groups"
"49E0BBA4-4BFB-4343-B487-C6E89EFC61B1";"zemledel'cheskie narody Prigindukush'ja";"Groups"
"662269C2-8045-4441-A57B-F86F7DFD4717";"pandzhabskaja narodnost'";"Groups"
"3FCA6DC2-C0A1-47FE-9DE3-538842C1EE0B";"narody Severnoj Indii";"Groups"
"3E27E4A0-4BA3-4DF9-8CCE-27F9F421FF35";"narody Severo-Zapadnoj Indii";"Groups"
"3EEB6D02-09E9-406D-A2F8-2D2C026027B6";"kashmircy";"Groups"
"5D1B8819-F820-4D22-A73B-F66C01B71FC5";"avary";"Groups"
"1BF7AD25-3912-4C17-9F59-43564EBD2002";"narody gornykh chastej Srednej, Perednej i Central'noj Azii";"Groups"
"F05B3F4D-49DB-4269-A237-AA0CD31DA7BD";"zemledel'cheskie narody Srednej i Perednej Azii";"Groups"
"93057733-262B-4C54-9CCF-F62614277F86";"narody Srednej Azii i Kazakhstana";"Groups"
"FB7C8776-B4F0-44BF-989E-2CFE0AFE0CF7";"gorodskoe naselenie Srednej Azii";"Groups"
"9BDAA5EA-7616-43C6-ABE2-6622BB41210B";"sredneaziatskie araby / Central Asian Arabs";"Groups"
"452AEFD6-0E19-4E48-B06E-E48A59F8B2E2";"polukochevye narody / narodnosti";"Groups"
"C72A5BC7-6A07-44A6-B2F0-0E2659FA6BBC";"kochevye narody";"Groups"
"89B634AB-EC5D-467D-99A4-3EC79B83AAC0";"narody Sibiri";"Groups"
"C3098819-4AA3-41B7-BFC3-B1DF2CA22EB7";"kochevye plemena Juzhnoj Sibiri";"Groups"
"D154F8B9-C35C-4EE5-A900-B6AF8EE97E30";"kochevye plemena Povolzh'ja";"Groups"
"3D4F0DEE-2725-4929-B756-428D172642D5";"karakalpaki";"Groups"
"D1FDEBA0-CBB9-435D-A37F-8A77A9B41C66";"ujgury";"Groups"
"B4ADAB8F-AD3B-49CC-BDD6-EE89C36E6301";"chernogorcy";"Groups"
"98746C62-2775-4BF3-8E4E-2F254C2318A0";"gornye shotlandcy";"Groups"
"4A21D101-D066-4EBD-B90F-42962DB02F2C";"nositeli iranskikh dialektakh v Farse na Juge Irana";"Groups"
"2E853B85-3D7F-41E7-9484-EC1A343F4B0E";"osedloe zemledel'ch. nasel. Vostoch. Turkestan do Zapadn.  Iran";"Groups"
"522ADFE7-7F37-49D9-8D04-46D6BDFAD883";"azerbajdzhancy";"Groups"
"961157F2-EBF6-43DF-9EF8-FACE4EDACFAC";"kurdy / Kurds";"Groups"
"F5C6E6E5-3FFE-466F-BE44-0B910CE72A31";"dashtikipchatskie kochevniki";"Groups"
"17641C87-348D-494D-8BDC-3F9499C03441";"sel'skie zhiteli korennykh nacional'nostej Srednej Azii";"Groups"
"D1642592-19C1-4841-AE64-1AE3DDC5DD8A";"Gruzinskie gorcy";"Groups"
"721568DC-8D46-47BA-BBF4-AD0C8F785E96";"zemledel'cheskie narody Evropy i Azii";"Groups"
"84B5FE87-CE5F-44F2-93D0-A53A16705FBF";"skotovodcheskie narody";"Groups"
"0E3C182F-86E5-4566-9D96-F8030F393898";"bukharcy";"Groups"
"237F283D-D6ED-42E8-A4E6-313D6B231465";"latyshi / Latvians";"Groups"
"2D215435-8E0B-44B8-8E2D-6DB8F6A9FAB0";"osetiny / Ossetians";"Groups"
"AEF9A827-4857-4E1F-82F9-9338EC031BC1";"sarmaty";"Groups"
"0331DAE1-A6E1-4909-A949-82F8D519A710";"cities in contemporary Afghanistan";"Afghanistan"
"D0B180DF-EA46-416A-9A97-9D98C0086DF1";"Hindukush";"Afghanistan"
"1F09A424-69B0-417D-B876-DB63BDFB2E83";"Northern Afghanistan";"Afghanistan"
"2A9BEC9D-5DC2-41AC-886B-943E3D50A082";"Afganskij Badakhshan";"Afghanistan"
"BD7990C8-426E-4E5A-8134-399FF92AE4A2";"Karshinskaja step'";"Uzbekistan / Uzbekskaja SSR"
"5A094E8F-1D41-4480-9D7A-30961B4F38C3";"Andizhan";"Uzbekistan / Uzbekskaja SSR"
"D18B33B5-84EE-43BD-AF41-AF97FE1EF393";"Eastern and Central regions of Uzbekistan";"Uzbekistan / Uzbekskaja SSR"
"B76C47A7-227E-4FBF-A2BB-FA74A78739DE";"Surkhandar'inskaja oblast'";"Uzbekistan / Uzbekskaja SSR"
"72D43C54-95A2-422E-BD5E-344175CF0B5E";"gornye oblasti / rajony Uzbekistana";"Uzbekistan / Uzbekskaja SSR"
"E19B7DA5-93E3-4352-9122-FD9A523E701D";"Bostandykskij rajon Tashkentskoj oblasti";"Uzbekistan / Uzbekskaja SSR"
"39B487A7-49A2-4295-B008-387918AED255";"Dzhizak";"Uzbekistan / Uzbekskaja SSR"
"E42C9945-D7E7-4A1C-8D8F-425988C294AE";"Ferghana (Uzbekistan)";"Uzbekistan / Uzbekskaja SSR"
"4F1FC8FA-04AB-4523-BC20-473D9158DACE";"Margelan";"Uzbekistan / Uzbekskaja SSR"
"45CDD402-A8C5-45DF-AEBD-7F3C0335D30B";"Bukhara (Uzbekistan)";"Uzbekistan / Uzbekskaja SSR"
"632F59D3-4C5A-4FF6-BBB1-9AA4B5DEFA03";"uzbekskie pogranichnye seleniya na Zeravshane";"Uzbekistan / Uzbekskaja SSR"
"437EA22B-5AA1-4D4D-BDD5-6D0824357D8D";"Samarkand";"Uzbekistan / Uzbekskaja SSR"
"9443DC67-2BC6-44EC-B7E6-C8E4E5864E6F";"Zaunguz'ja";"Turkmenistan / Turkmenija / Turkmenskaja SSR"
"3559AA88-66EC-41DF-8557-E9179F5C5E9C";"glukhie rajony Kirgizii";"Kirgizija / Kirgizskaja SSR"
"62C00E48-94C2-4A23-989D-C601AE623023";"Oshskaja oblast' Kirgizii";"Kirgizija / Kirgizskaja SSR"
"DCE98F47-3790-43D8-9117-6773DEAAE00D";"Ceylon";"India"
"84FE5C90-40F3-42F3-932E-EAAA543151EE";"North-West India";"India"
"279E1464-C940-46C1-A815-52694496B11A";"Eastern Iran";"Iran"
"DD808306-C325-4C38-BF7C-17822FB9ADD8";"gornaja chast' Srednej Azii";"Central Asia / Srednjaja Azija"
"1A753995-FF05-447D-9FCA-F9A19A119618";"Chitral";"Pakistan"
"76212DC4-B3F4-415C-A082-540400F7833F";"gornaja Gruzija";"Gruzija / Georgia"
"9798D563-9D15-4B6A-B2C3-0BC02802AB82";"gornaja Armenija";"Armenija"
"6830C315-0F6A-4558-AEBB-9F518792DC4F";"Persia";"Historical locations"
"4EDE2049-7054-4C64-89A7-7DFC98A991D9";"Ancient Mediterranean";"Historical locations"
"CC4BF974-A6CC-41A6-8AD7-C73A23F0150F";"byvshie musul'manskie regiony SSSR";"Historical locations"
"192422E2-7E73-41CE-BC45-7FDAFBE5441B";"Ancient Greece / Hellenic world";"Historical locations"
"5E525F9D-6CB6-4F16-820D-0EE43D697FCF";"Dzharkutan";"Historical locations"
"3298476C-67FE-4991-8BAE-D08A629AACF0";"""Rossija"" / Russian Empire";"Historical locations"
"13EEA84E-478E-40D8-BA6A-2E84F00765E7";"drevnjaja India";"Historical locations"
"324AEA2E-3A33-4782-A3A5-129C8D3991CC";"drevnij Iran";"Historical locations"
"56CC8978-5B68-4C37-BB34-61718973AE7D";"srednevekovyj Iran";"Historical locations"
"DE46C801-2418-45B6-9FDE-9F5DFDF5D373";"Ancient Egypt";"Historical locations"
"44F8097B-BED5-4F09-8994-D2925BDC2F62";"kurdskie zhensshiny / Kurdish women";"kurdy / Kurds"
"1B401CEA-3119-4313-9735-2A44C572530C";"azerbajdzhanskie zhensshiny / Azerbaijani women";"azerbajdzhancy"
"13C96916-679D-48E0-9CA5-FEA0898EF47D";"karakalpaki Fergany / Karakalpaki of Ferghana";"karakalpaki"
"148F018A-FFDE-410E-9EC5-2FF8587C1D23";"araby v Uzbekistane";"sredneaziatskie araby / Central Asian Arabs"
"B056E940-41E2-40E7-A67B-5BB523C41C04";"gorodskoe naselenie Kirgizii";"gorodskoe naselenie Srednej Azii"
"034BA8B7-A354-456D-8716-F2D4EDA4E13C";"gorodskoe naselenie Turkmenii";"gorodskoe naselenie Srednej Azii"
"EC875970-632E-4528-99D3-8C8CB7A908F0";"narody Srednej Azii";"narody Srednej Azii i Kazakhstana"
"9F236D91-B22E-46DE-9F3A-520E72BCB1BD";"Tatar women / tatarki";"tatary"
"AA28A3C7-97C8-4529-9B1D-8B284537D066";"tatary v Srednej Azii";"tatary"
"1B26B147-78F7-4826-8A03-D7278B2852EC";"rabochie-""cygane"" / pejorative exonym for Romani working class";"""cygane"" / pejorative exonym for the Romani people"
"B110907E-2C58-4B4A-A828-15CE6C55123C";"sredneaziatskie / bukharskie evrei";"evrei / Jews"
"08F57633-D077-4B63-88D0-930B48EBFAB6";"zhensshiny u sartov / Sart women";"sarty / Sarts"
"B4DDAD56-B86C-41FA-B41D-5A1D1E31295B";"kavkazskie gornye gruppy";"narody Kavkaza"
"A74C7255-50D2-4514-9959-E73BBC479625";"musul'manskie narody Kavkaza";"narody Kavkaza"
"D9DE3321-651B-497F-84BA-7E54FDAD1955";"narody Vostochnogo Gindukusha";"narody Gindukusha"
"05CDA25B-1963-4B24-A64D-B067655DBF7D";"tjurkojazychnye narody";"tjurki"
"A3C7C38A-E754-45C3-AF96-5D657BA73083";"tjurkskie narody";"tjurki"
"0B09E608-2875-4C12-A551-88A4C75FDAE3";"tjurki doliny Kzyl-Su";"tjurki"
"D34FE26A-AF85-49A5-85EB-DE0FC24CECFB";"tjurki doliny Yakh-Su";"tjurki"
"3B4ECAE3-E9B4-459E-82FF-750A5734F57A";"tjurki v Afganskom Badakhshane";"tjurki"
"F6730C0A-F34E-41BC-8F62-E9DDDCE8D8BB";"tjurki kuljabskoj oblasti";"tjurki"
"B5621C30-34E4-492B-B6BA-B6E722364266";"tjurkskie narody Srednej Azii i Kazakhstana";"tjurki"
"922AF114-B9FD-43B2-ABA1-D43ACBD48C76";"altajskie tjurki";"tjurki"
"A1F82DAB-5625-456B-8358-ACC5D88B87A4";"tjurki Uzbekistana";"tjurki"
"ECFB18DD-801D-4D9D-9B29-9E7FC792337A";"tjurki-musa-bazari bassejna Khanaka-Dar'i k Karatag-Dar'i";"tjurki"
"64A62E7B-AD8E-4C93-AC22-13319E746C79";"tjurki-kal'ta-tai bass. Khanaka-Dar'i, Karatag-Dar'i, Surkhana";"tjurki"
"DC545099-F8E7-4E28-9426-47B3562DA6A1";"tjurki-barlacy Surkhandar'inskoj oblasti Uzbekistana";"tjurki"
"705A83EC-D680-4696-9731-23161359664B";"Russians in Central Asia";"russkij narod / Russians"
"D9E93118-E595-48A5-A2B9-68AC335F9027";"drevnie vostochno-iranskie plemena";"Groups in Iran"
"F3267E9B-562E-4000-A9A5-AD1E5A9558AE";"iranskie narody / Iranian peoples";"Groups in Iran"
"DF8B3988-FE1F-4870-9556-7CB9AB3C38B0";"iranojazychnye narodnosti po beregam r. Pjandzha i Amudar'i";"Groups in Iran"
"A4D25AD8-3FE2-43EA-819B-D4AF4530A495";"narody Irana / peoples of Iran";"Groups in Iran"
"39D99580-1659-433E-B4F9-C2AD9C9BC130";"persy v Afganistane";"Groups in Iran"
"FBD74DA8-150A-4568-985C-007F81C1E740";"persy / iranojazychnye narody / Persian/Iranian-speaking groups";"Groups in Iran"
"73296E79-18F8-47E8-95A7-882A433B94C3";"etn. gruppy, govorjasshie na nardskikh jazykah v Afganistane";"Groups in Afghanistan"
"C1AEFE55-7FF7-4422-B2EE-68FA619556DA";"dzhemshidy (Afghanistan)";"Groups in Afghanistan"
"F1A189C5-931E-476B-A3B8-ABE223ABAE9A";"mogoly ( Afghanistan)";"Groups in Afghanistan"
"E0107E3D-DB22-4F6F-B399-F1B5C7C68B6A";"khazara (Afghanistan)";"Groups in Afghanistan"
"8FC5445B-F613-431E-8762-8E0E63531572";"khezarejcy (Afghanistan)";"Groups in Afghanistan"
"3166E06A-0944-4A67-9778-2CEC502E6957";"pushtuny (Afghanistan)";"Groups in Afghanistan"
"35D8EC5C-F9B1-46CB-BDD2-92246E948634";"bragui (Afghanistan)";"Groups in Afghanistan"
"9406A2FD-66F6-400D-935A-2808BA454F4F";"uzbeki (Afghanistan)";"Groups in Afghanistan"
"B7FBB78A-3DA3-41F1-AC4A-DE4A58D67046";"ajmaki (Afghanistan)";"Groups in Afghanistan"
"9EE1FF02-D8F1-4A42-8B65-ADBF90E57153";"tejmuri, zuri, tairi (Afghanistan)";"Groups in Afghanistan"
"D9551322-DCF0-4052-8F59-8C342C13A435";"pamircy (Afghanistan)";"Groups in Afghanistan"
"6552C0E2-199A-4937-AB58-FD455A37E66E";"ormuri (Afghanistan)";"Groups in Afghanistan"
"5B9DDCB8-512A-43C9-B049-02CEB863CABB";"keshemskie beludzhi (Afghanistan)";"Groups in Afghanistan"
"DDE3844A-B3D1-4446-9751-E54B790AD77F";"pashaj (Afghanistan)";"Groups in Afghanistan"
"CE3C6812-B730-4161-BE61-C3F2631AAF21";"chilasi (Afghanistan)";"Groups in Afghanistan"
"C1E8800C-DB0D-444D-BE2F-0CE0F6A9096F";"nari (Afghanistan)";"Groups in Afghanistan"
"048D50A7-57B2-4A11-AE21-0413E7710F14";"tajmani/tajmeny (Afghanistan)";"Groups in Afghanistan"
"696CF641-2A88-4985-8EE4-A62CE9BB55B6";"firjuzkukhi v Afganistane";"Groups in Afghanistan"
"3263E6AD-06ED-41F6-89CB-FAC979D9E1FE";"narody Afganistana";"Groups in Afghanistan"
"5F07E31C-760B-4A0B-9C3C-0370154CBA17";"afgancy / Afghans";"Groups in Afghanistan"
"4C2623BB-6007-4407-9CC7-C678874AFCD4";"afgancy doliny r. Pandzhshir";"Groups in Afghanistan"
"715EFD8C-EE1C-4096-90CC-737D8A08CD7D";"zemledel'cheskie narody Afganskogo Badakhshana";"Groups in Afghanistan"
"CCF62EB2-E063-41A8-B26A-BC00FA9E9839";"kazakhi";"Central Asian titular nations"
"520685D8-5998-4460-8351-9BACA8F73339";"turkmeny";"Central Asian titular nations"
"061D2618-0D28-48C6-ADA3-64B272B398CF";"kirgizy";"Central Asian titular nations"
"FDE46AF9-35D7-4BAF-BCF8-C729F5146AE1";"uzbeki";"Central Asian titular nations"
"977827B9-3F21-4085-8441-2A41421D0E40";"uzbeki Vostochnoj Bukhary (Bukharskoe khanstvo)";"Historical groups"
"9592FF3B-1E57-41B8-9100-3B709B94D514";"drevnee evropeoidnoe naselenie";"Historical groups"
"237D96DA-FC20-42DC-903E-9C892BA142EF";"drevnee iranojazychnoe naselenie Srednej Azii";"Historical groups"
"6AC85C86-75BB-4B32-AFD4-6E286EFA00E5";"iranojazychnye narody drevnezemledel'cheskikh regionov";"Historical groups"
"58F6A4DA-096B-47C6-9FA5-70ECC11436F4";"narody Sredneaziatskogo Mezhdurech'ja";"Historical groups"
"91327DAE-CC0A-4845-AFFD-360A00501FFA";"musul'manskie narody Srednej Azii";"narody Srednej Azii"
"BA62EE40-5DFC-4821-968E-FFD95FF4062F";"osedlye narody Srednej Azii";"narody Srednej Azii"
"0377BF1B-B655-421A-B50F-2101121D8539";"lokajcy";"uzbeki"
"1C7A3340-9375-4158-8E45-4CF986A9D7FC";"zhitel'nicy jugo-zapadnykh rajonov Uzbekistana";"uzbeki"
"7EC04D58-761E-43BD-8F68-1AC0E9E2788E";"sel'skoe naselenie juzhnykh i zapadnikh rajonov Uzbekistana";"uzbeki"
"B80BBF4C-E133-4C42-A341-F471DA0F5BF3";"uzbeki Surkhandar'inskoj oblasti";"uzbeki"
"4A284450-FB99-4456-98B1-D0F8A0C8A2D8";"durmeny Tadzhikistana";"uzbeki"
"646C3A0D-8327-4C9C-A50E-D3A024BB636B";"uzbeki Juzhnogo Tadzhikistana";"uzbeki"
"3505FD10-A4CA-474D-9D69-35F34AAAD903";"uzbeki iz gornykh rajonov";"uzbeki"
"D47E7BF3-BC93-4DD1-8E34-8B0783EB4757";"uzbeki Kirgizii";"uzbeki"
"11AC31C1-1C6B-44DC-97DE-FB549BE30371";"uzbeki-sarty / Uzbek Sarts";"uzbeki"
"BB2A6A47-0DE9-4E27-BA11-52359FE9A6C6";"uzbeki Khorezma";"uzbeki"
"29207B91-5235-4471-AACF-5C5F36174EA4";"Uzbek women / uzbechki";"uzbeki"
"72BAE087-7D68-4DE2-9B74-D50E4B6F5EC2";"uzbeki-tagchi Surkhandar'inskoj oblasti";"uzbeki"
"85F37F55-08C1-41CE-8591-D903B92C8AB2";"uzbeki Samarkandskoj i Kashkadar'inskoj oblastej";"uzbeki"
