"source";"target";"startpos";"issue";"group";"tempi";"type_of_statement";"past_present_relation";"feature";"relation"
"jazgulemcy";"shugnancy";"222276";"1959_4";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"verovanija / mify / beliefs / myths";"proximity / similarity"
"jazgulemcy";"rushancy";"222276";"1959_4";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"verovanija / mify / beliefs / myths";"proximity / similarity"
"rushancy";"shugnancy";"222276";"1959_4";"Pamir groups, Pamir groups";NA;"Factual Statement by Author";NA;"verovanija / mify / beliefs / myths";"proximity / similarity"
"tadzhiki v Irane";"tadzhiki v SSSR";"222800";"1986_5";"Tajiks outside the Tajik SSR, Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"proximity / similarity"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"tadzhiki v SSSR";"222800";"1986_5";"Tajiks outside the Tajik SSR, Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"proximity / similarity"
"tadzhiki v Afganistane / Tajiks in Afghanistan";"tadzhiki v Irane";"222800";"1986_5";"Tajiks outside the Tajik SSR, Tajiks outside the Tajik SSR";"present";"Citation Research, Secondary Literature, doklad, soobsshenie";NA;"etnos / ethnos / etnicheskaja prinadlezhnost' / obsshnost'";"proximity / similarity"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"225450";"1957_2";"groups in mountainous regions, gornye tadzhiki";"past: pre-Islamic / pre-Arab conquest";"Factual Statement by Author";"Continuity";"prazdniki / holidays / festivities";"proximity / similarity"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"225450";"1957_2";"groups in mountainous regions, gornye tadzhiki";"present";"Factual Statement by Author";"Continuity";"prazdniki / holidays / festivities";"proximity / similarity"
"srednee i nizhnee techenie r. Khingou";"tadzhiki kuljabskoj oblasti / Kuljaba";"232450";"1957_2";"pritoki r. Vakhsh, tadzhiki";NA;"Factual Statement by Author";NA;"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"srednee i nizhnee techenie r. Khingou";"tadzhiki kuljabskoj oblasti / Kuljaba";"232450";"1957_2";"pritoki r. Vakhsh, tadzhiki";NA;"Factual Statement by Author";NA;"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"relikty / relics";NA
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"family structure / semejnye otnoshenija";NA
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"gender relations / polozhenie zhensshiny";NA
"gornye tadzhiki";"ravninnye tadzhiki";"236833";"1989_4";"groups in mountainous regions, groups in plainland regions";"present";"Factual Statement by Author";NA;"weddings / svadebnye obychai i obrjady / kalym";NA
"juzhnye tadzhiki / Southern Tajikistan Tajiks";"severnye tadzhiki / Northern Tajikistan Tajiks";"243818";"1981_6";"tadzhiki, tadzhiki";"present";"Factual Statement by Author";NA;"genes / genetic features";"difference"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, groups in mountainous regions";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, groups in mountainous regions";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, groups in mountainous regions";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, groups in mountainous regions";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"gornye tadzhiki, Pamir groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"gornye tadzhiki, Pamir groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"gornye tadzhiki, Pamir groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"gornye tadzhiki, Pamir groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"Karategin";"251012";"1957_2";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"Karategin";"251012";"1957_2";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"Karategin";"251012";"1957_2";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki bassejna r. Khingou";"Karategin";"251012";"1957_2";"gornye tadzhiki, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, Gissar";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, Gissar";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, Gissar";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, Gissar";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"gornye tadzhiki bassejna r. Khingou";"251012";"1957_2";"gornye tadzhiki, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"groups in mountainous regions, Pamir groups";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"groups in mountainous regions, Pamir groups";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"groups in mountainous regions, Pamir groups";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"groups in mountainous regions, Pamir groups";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"Karategin";"251012";"1957_2";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"Karategin";"251012";"1957_2";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"gornye tadzhiki";"Karategin";"251012";"1957_2";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"gornye tadzhiki";"Karategin";"251012";"1957_2";"groups in mountainous regions, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"gornye tadzhiki";"251012";"1957_2";"groups in mountainous regions, Gissar";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"gornye tadzhiki";"251012";"1957_2";"groups in mountainous regions, Gissar";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"gornye tadzhiki";"251012";"1957_2";"groups in mountainous regions, Gissar";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"gornye tadzhiki";"251012";"1957_2";"groups in mountainous regions, Gissar";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"gornye tadzhiki";"251012";"1957_2";"groups in mountainous regions, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"gornye tadzhiki";"251012";"1957_2";"groups in mountainous regions, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"gornye tadzhiki";"251012";"1957_2";"groups in mountainous regions, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"gornye tadzhiki";"251012";"1957_2";"groups in mountainous regions, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"Karategin";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"Karategin";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"Karategin";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"Karategin";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, Gissar";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, Gissar";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, Gissar";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, Gissar";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"pripamirskie narodnosti / narody / pripamircy";"251012";"1957_2";"Pamir groups, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"Karategin";"251012";"1957_2";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Gissar";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"Karategin";"251012";"1957_2";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Gissar";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"Karategin";"251012";"1957_2";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Gissar";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"Karategin";"251012";"1957_2";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Gissar";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"Karategin";"251012";"1957_2";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"Karategin";"251012";"1957_2";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"Karategin";"251012";"1957_2";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"Karategin";"251012";"1957_2";"gornyj juzhnyj Tadzh. / mountainous regions Southern Tajikistan, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Gissar, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Gissar, Southern Tajikistan";"present";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"byvshij Gissarskij bekstv";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Gissar, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"zemledelie / sel'skoe khosjajstvo / agriculture";"proximity / similarity"
"byvshij Gissarskij bekstv";"dolina r.  Jakh-Su /Yokhsu / verkhovja doliny r. Jakh-Su";"251012";"1957_2";"Gissar, Southern Tajikistan";"past";"Factual Statement by Author";"Continuity";"use of specific tools or methods";"proximity / similarity"
"nizhnij Pjandzh";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"pripamirskie rajony / Pripamir', pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"nizhnij Pjandzh";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"pripamirskie rajony / Pripamir', pripamirskie rajony / Pripamir'";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"bassejn / dolina Zeravshan";"nizhnij Pjandzh";"251988";"1963_6";"pripamirskie rajony / Pripamir', Zeravshan";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"bassejn / dolina Zeravshan";"nizhnij Pjandzh";"251988";"1963_6";"pripamirskie rajony / Pripamir', Zeravshan";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"Ferghana / Ferganskaja dolina";"nizhnij Pjandzh";"251988";"1963_6";"pripamirskie rajony / Pripamir', Northern Tajikistan";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"Ferghana / Ferganskaja dolina";"nizhnij Pjandzh";"251988";"1963_6";"pripamirskie rajony / Pripamir', Northern Tajikistan";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"bassejn / dolina Zeravshan";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"pripamirskie rajony / Pripamir', Zeravshan";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"bassejn / dolina Zeravshan";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"pripamirskie rajony / Pripamir', Zeravshan";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"Ferghana / Ferganskaja dolina";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"pripamirskie rajony / Pripamir', Northern Tajikistan";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"Ferghana / Ferganskaja dolina";"verkhnij Pjandzh / bassejn verkhnego Pjandzha";"251988";"1963_6";"pripamirskie rajony / Pripamir', Northern Tajikistan";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"bassejn / dolina Zeravshan";"Ferghana / Ferganskaja dolina";"251988";"1963_6";"Zeravshan, Northern Tajikistan";"present";"Factual Statement by Author";NA;"perezhitki / survivals";NA
"bassejn / dolina Zeravshan";"Ferghana / Ferganskaja dolina";"251988";"1963_6";"Zeravshan, Northern Tajikistan";"present";"Factual Statement by Author";NA;"housing / architecture / zhilisshe";NA
"tadzhiki-chagatai";"tadzhiki-kulobi";"253193";"1964-6";"tadzhiki, tadzhiki";"past: pre-Soviet";"Factual Statement by Author";NA;"material'naja kul'tura / material culture";"difference"
"tadzhiki-chagatai";"tadzhiki-kulobi";"253193";"1964-6";"tadzhiki, tadzhiki";"past: pre-Soviet";"Factual Statement by Author";NA;"dukhovnaja kul'tura / spiritual culture";"difference"
"tadzhiki-chagatai";"tadzhiki-kulobi";"253193";"1964-6";"tadzhiki, tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"material'naja kul'tura / material culture";"difference"
"tadzhiki-chagatai";"tadzhiki-kulobi";"253193";"1964-6";"tadzhiki, tadzhiki";"past: pre-Russian Empire / pre-Russian colonialism";"Factual Statement by Author";NA;"dukhovnaja kul'tura / spiritual culture";"difference"
"gornye tadzhiki";"tadzhiki-kulobi";"253625";"1964-6";"tadzhiki, groups in mountainous regions";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"darvazcy";"tadzhiki-kulobi";"253625";"1964-6";"tadzhiki, tadzhiki";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"pripamirskie tadzhiki";"tadzhiki-kulobi";"253625";"1964-6";"tadzhiki, Pamir groups";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"karategini Fergany / karategincy Fergany";"tadzhiki-kulobi";"253625";"1964-6";"tadzhiki, population of Ferghana";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"darvazcy";"gornye tadzhiki";"253625";"1964-6";"groups in mountainous regions, tadzhiki";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"gornye tadzhiki";"pripamirskie tadzhiki";"253625";"1964-6";"groups in mountainous regions, Pamir groups";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"gornye tadzhiki";"karategini Fergany / karategincy Fergany";"253625";"1964-6";"groups in mountainous regions, population of Ferghana";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"darvazcy";"pripamirskie tadzhiki";"253625";"1964-6";"tadzhiki, Pamir groups";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"darvazcy";"karategini Fergany / karategincy Fergany";"253625";"1964-6";"tadzhiki, population of Ferghana";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"karategini Fergany / karategincy Fergany";"pripamirskie tadzhiki";"253625";"1964-6";"Pamir groups, population of Ferghana";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"tadzhiki kuljabskoj oblasti / Kuljaba";"tadzhiki-kulobi";"254167";"1964-6";"tadzhiki, tadzhiki";"past";"Factual Statement by Author";NA;"identity / self-description / samonazvanie / samosoznanie";NA
"gornye tadzhiki Kashkadar'i i Surkhana";"tadzhiki Zeravshanskoj doliny";"256986";"1964-6";"tadzhiki, gornye tadzhiki";NA;"Factual Statement by Author";NA;"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"assimilation"
"tadzhiki Zeravshanskoj doliny";"tadzhiki-chagatai";"256986";"1964-6";"tadzhiki, tadzhiki";NA;"Factual Statement by Author";NA;"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"assimilation"
"gornye tadzhiki Kashkadar'i i Surkhana";"tadzhiki-chagatai";"256986";"1964-6";"gornye tadzhiki, tadzhiki";NA;"Factual Statement by Author";NA;"ethnogenesis / slozhenie naroda / etnicheskaja konsolidacija";"assimilation"
"tadzhiki Surkhandar'inskoj oblasti (Uzbekistan)";"tadzhiki-chagatai";"259406";"1964-6";"tadzhiki, Tajiks outside the Tajik SSR";"past";"Factual Statement by Author";NA;"kul'tura / kul'turnye tradicii / culture / cultural traditions";"proximity / similarity"
"sarykol'cy";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"proximity / similarity"
"sarykol'cy";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"religion (Islam)";"proximity / similarity"
"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"vakhancy";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"proximity / similarity"
"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"vakhancy";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"religion (Islam)";"proximity / similarity"
"shugnancy";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"proximity / similarity"
"shugnancy";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"religion (Islam)";"proximity / similarity"
"roshancy";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"proximity / similarity"
"roshancy";"Sin'czjanskie tadzhiki / tadzhiki v Kitae";"263590";"1956_2";"Tajiks outside the Tajik SSR, Pamir groups";"present";"Factual Statement by Author";NA;"religion (Islam)";"proximity / similarity"
"sarykol'cy";"vakhancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"proximity / similarity"
"sarykol'cy";"vakhancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"religion (Islam)";"proximity / similarity"
"sarykol'cy";"shugnancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"proximity / similarity"
"sarykol'cy";"shugnancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"religion (Islam)";"proximity / similarity"
"roshancy";"sarykol'cy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"proximity / similarity"
"roshancy";"sarykol'cy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"religion (Islam)";"proximity / similarity"
"shugnancy";"vakhancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"language / spoken (incl. dialects)";"proximity / similarity"
"shugnancy";"vakhancy";"263590";"1956_2";"Pamir groups, Pamir groups";"present";"Factual Statement by Author";NA;"religion (Islam)";"proximity / similarity"
